ticker,date,open,high,low,close,volume
AAPL,2024-01-02 05:00:00,187.15,188.44,183.885,185.64,81964874.0
AAPL,2024-01-03 05:00:00,184.22,185.88,183.43,184.25,58414460.0
AAPL,2024-01-04 05:00:00,182.15,183.0872,180.88,181.91,71878670.0
AAPL,2024-01-05 05:00:00,181.99,182.76,180.17,181.18,62371161.0
AAPL,2024-01-08 05:00:00,182.085,185.6,181.5,185.56,59144470.0
AAPL,2024-01-09 05:00:00,183.92,185.15,182.73,185.14,42841809.0
AAPL,2024-01-10 05:00:00,184.35,186.4,183.92,186.19,46192908.0
AAPL,2024-01-11 05:00:00,186.54,187.05,183.62,185.59,49128408.0
AAPL,2024-01-12 05:00:00,186.06,186.74,185.19,185.92,40477782.0
AAPL,2024-01-16 05:00:00,182.16,184.26,180.934,183.63,65076641.0
AAPL,2024-01-17 05:00:00,181.27,182.93,180.3,182.68,47317433.0
AAPL,2024-01-18 05:00:00,186.09,189.14,185.83,188.63,77722754.0
AAPL,2024-01-19 05:00:00,189.33,191.95,188.82,191.56,68887985.0
AAPL,2024-01-22 05:00:00,192.3,195.33,192.26,193.89,60131852.0
AAPL,2024-01-23 05:00:00,195.02,195.75,193.8299,195.18,42355590.0
AAPL,2024-01-24 05:00:00,195.42,196.38,194.34,194.5,53631316.0
AAPL,2024-01-25 05:00:00,195.22,196.2675,193.1125,194.17,54822126.0
AAPL,2024-01-26 05:00:00,194.27,194.76,191.94,192.42,44587111.0
AAPL,2024-01-29 05:00:00,192.01,192.2,189.58,191.73,47145622.0
AAPL,2024-01-30 05:00:00,190.94,191.8,187.47,188.04,55836970.0
AAPL,2024-01-31 05:00:00,187.04,187.095,184.35,184.4,55467803.0
AAPL,2024-02-01 05:00:00,183.985,186.95,183.82,186.86,64885408.0
AAPL,2024-02-02 05:00:00,179.86,187.33,179.25,185.85,102527680.0
AAPL,2024-02-05 05:00:00,188.15,189.25,185.84,187.68,69654320.0
AAPL,2024-02-06 05:00:00,186.86,189.31,186.7695,189.3,43490759.0
AAPL,2024-02-07 05:00:00,190.64,191.05,188.61,189.41,53438955.0
AAPL,2024-02-08 05:00:00,189.385,189.535,187.35,188.32,40962046.0
AAPL,2024-02-09 05:00:00,188.65,189.99,188.0,188.85,45155216.0
AAPL,2024-02-12 05:00:00,188.415,188.67,186.79,187.15,41781934.0
AAPL,2024-02-13 05:00:00,185.77,186.21,183.5128,185.04,56529529.0
AAPL,2024-02-14 05:00:00,185.32,185.53,182.44,184.15,54617917.0
AAPL,2024-02-15 05:00:00,183.55,184.49,181.35,183.86,65434496.0
AAPL,2024-02-16 05:00:00,183.42,184.85,181.665,182.31,49752465.0
AAPL,2024-02-20 05:00:00,181.79,182.43,180.0,181.56,53574453.0
AAPL,2024-02-21 05:00:00,181.94,182.8888,180.66,182.32,41496371.0
AAPL,2024-02-22 05:00:00,183.48,184.955,182.46,184.37,52284192.0
